url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/span/b70a0ff4-119a-41ae-8579-978d03c93b23	2026-04-07	Ashby WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	SPAN	added
https://jobs.ashbyhq.com/answersnow/8aa58694-b647-4044-9ddd-181069640e0b	2026-04-07	Ashby WebSearch — QA Automation	Senior QA Automation Engineer	AnswersNow	added
https://jobs.ashbyhq.com/webai/8d8cb5b6-e62b-4fd9-b9ae-49101f418581	2026-04-07	Ashby WebSearch — QA Automation	Senior Quality Assurance Automation Engineer	webAI	added
https://jobs.ashbyhq.com/machinify/2f6dd716-42c9-4490-9ded-fee3b2631d7f	2026-04-07	Ashby WebSearch — QA Automation	Senior Automation Engineer, Quality Assurance	Machinify	added
https://jobs.ashbyhq.com/real/6d4bc00f-7682-454a-9c87-c3adee0af77b	2026-04-07	Ashby WebSearch — QA Automation	Senior QA Automation Engineer - Tech Lead	Real	added
https://jobs.ashbyhq.com/vettura/e26c09d6-320b-419f-bdb5-7dcede129471	2026-04-07	Ashby WebSearch — QA Automation	Senior QA Automation Engineer	Vettura	added
https://jobs.ashbyhq.com/astronomer/bb2c7284-5085-4e7c-90dd-f61db3150bfb	2026-04-07	Ashby WebSearch — QA Automation	Senior Software Engineer, Test Automation	Astronomer	added
https://jobs.ashbyhq.com/writer/7d42793b-c380-464c-bb42-c120328ea6ad	2026-04-07	Ashby WebSearch — QA Automation	QA Automation Engineer	Writer	added
https://jobs.lever.co/netomi/8723fb67-36c9-495d-ba19-05b0e36f22e3	2026-04-07	Lever WebSearch — SDET	SDET II	Netomi	added
https://jobs.lever.co/everbridge/11f4c133-18e5-487e-b3dd-800abc0e6401	2026-04-07	Lever WebSearch — SDET	Software Development Engineer in Test (SDET)	Everbridge	added
https://jobs.lever.co/cloaked-app/e58f8ccd-9873-4fe8-b3c0-abfb46136b9a	2026-04-07	Lever WebSearch — QA Automation	Quality Assurance Automation Engineer	Cloaked	added
